Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
F-30 Viken,no-vi,"Population, total",SP.POP.TOTL,972623,982763,990991,1000972,1008859,1017532,1028034,1040581,1056562,1072105,1087168,1103097,1121610,1139296,1154995,1169037,1184361,1199404,1213729,1227305,1241165,1252384,1269230,1292241
F-03 Oslo,no-os,"Population, total",SP.POP.TOTL,507467,508726,512589,517401,521886,529846,538411,548617,560484,575475,586860,599230,613285,623966,634463,647676,658390,666759,673469,681071,693494,697010,699827,709037
F-34 Innlandet,no-in,"Population, total",SP.POP.TOTL,355545,356924,356518,357103,357219,356710,356885,356969,358072,359556,361057,362696,364679,365649,366785,368358,368636,369893,370994,371054,371385,370603,371253,373628
F-38 Vestfold og Telemark,no-vt,"Population, total",SP.POP.TOTL,371529,374209,375721,377590,379159,380584,381779,383508,386701,390223,393051,396396,399866,403080,405749,408014,410857,413702,415777,417711,419396,421882,424832,429101
F-42 Agder,no-ag,"Population, total",SP.POP.TOTL,257869,259592,260796,262414,263501,264872,266401,268461,272074,275592,278876,282456,285819,289125,292225,295644,298486,300789,303754,305244,307231,308843,311134,316051
F-11 Rogaland,no-ro,"Population, total",SP.POP.TOTL,376497,378538,381375,385020,388848,393104,397594,404566,412687,420574,427947,436087,443115,452159,459625,466302,470175,472024,473526,475654,479892,482645,485797,492350
F-46 Vestland,no-vl,"Population, total",SP.POP.TOTL,538294,541371,544336,547739,551078,554178,558055,561704,567722,574915,583028,590775,597551,605597,612988,619306,624827,629031,631594,633117,636531,638821,641292,646205
F-15 Møre og Romsdal,no-mr,"Population, total",SP.POP.TOTL,240439,241115,241170,241633,241941,242088,242403,242854,244267,246262,248798,251389,254119,256975,259126,261339,262907,263847,264421,264970,265238,265544,265848,268365
F-50 Trøndelag,no-td,"Population, total",SP.POP.TOTL,393906,396039,397662,399669,402071,404809,407878,411637,416565,421125,425793,429928,435069,440865,444966,449386,453352,458221,462354,465634,468702,471124,474131,478470
F-18 Nordland,no-no,"Population, total",SP.POP.TOTL,237582,236834,236026,235506,235609,235404,234861,234084,233658,234047,234926,235955,237036,238333,239621,240402,240623,241614,242076,242126,241235,240345,240190,241084
F-54 Troms og Finnmark,no-tf,"Population, total",SP.POP.TOTL,226746,227325,226882,227205,227286,227236,227918,228153,228379,229378,230695,232296,233721,236230,238513,240338,241371,243033,243925,244326,243311,242168,241736,242452